2022 04 30.512585,15 23 05.357,+14 52 22.98,15.50 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC J17,
2022 04 30.519301,15 23 05.023,+14 52 21.50,15.38 o,"T08 – ATLAS-MLO, Mauna Loa",MPEC J17,
2022 05 01.270470,15 22 40.769,+14 49 37.31,16.10 g,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 05 01.298870,15 22 39.329,+14 49 31.40,15.54 r,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 05 01.373541,15 22 35.441,+14 49 14.20,16.10 g,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 05 01.381220,15 22 35.040,+14 49 12.29,15.47 r,I41 – Palomar Mountain--ZTF,MPEC J17,
2022 05 01.393873,15 22 34.108,+14 49 09.48,15.68 G,703 – Catalina Sky Survey,MPEC J17,
2022 05 01.399144,15 22 33.838,+14 49 08.11,15.72 G,703 – Catalina Sky Survey,MPEC J17,
2022 05 01.404415,15 22 33.560,+14 49 06.82,15.66 G,703 – Catalina Sky Survey,MPEC J17,
2022 05 01.409689,15 22 33.294,+14 49 05.34,15.71 G,703 – Catalina Sky Survey,MPEC J17,
2022 05 02.318020,15 21 58.990,+14 44 52.19,16.01 g,I41 – Palomar Mountain--ZTF,MPEC J31,
2022 05 02.357510,15 21 56.719,+14 44 39.91,15.96 g,I41 – Palomar Mountain--ZTF,MPEC J31,
2022 05 02.377850,15 21 55.541,+14 44 33.22,15.99 g,I41 – Palomar Mountain--ZTF,MPEC J31,
2022 05 02.433810,15 21 52.339,+14 44 14.21,16.03 g,I41 – Palomar Mountain--ZTF,MPEC J31,
2022 05 02.84083,15 21 37.78,+14 41 44.7,15.4 G,"K83 – Beppe Forti Astronomical Observatory, Montelupo",MPEC J20,
2022 05 02.84383,15 21 37.62,+14 41 43.7,15.4 G,"K83 – Beppe Forti Astronomical Observatory, Montelupo",MPEC J20,
2022 05 02.84682,15 21 37.47,+14 41 42.7,15.5 G,"K83 – Beppe Forti Astronomical Observatory, Montelupo",MPEC J20,
