"epoch.mjd","a","e","i","om","w","ma","epoch","q","tp","n_obs_used"
55797,4.148,0.4164,27.05,346.82,37.86,43.69,2455797.5,2.420,2455423.02,773
53303,3.342,0.4370,14.73,43.51,9.29,65.14,2453303.5,1.882,2452899.61,95
57800,3.654,0.6375,21.33,14.18,3.92,25.83,2457800.5,1.325,2457617.45,475
57800,3.77,0.5288,44.00,54.01,341.12,22.06,2457800.5,1.776,2457636.63,1174
54885,3.588,0.4996,6.52,49.89,90.13,279.11,2454885.5,1.795,2455443.33,170
55623,4.168,0.1769,7.92,31.07,114.81,339.85,2455623.5,3.430,2455797.45,430
56411,3.93,0.3771,26.08,157.96,224.26,172.53,2456411.5,2.448,2455047.63,235
56769,3.401,0.5633,14.65,112.40,308.91,269.63,2456769.5,1.485,2457344.47,1457
56063,4.026,0.2468,12.33,133.08,42.43,44.60,2456063.5,3.032,2455697.96,573
55471,4.485,0.3349,14.64,56.13,53.42,37.93,2455471.5,2.983,2455105.95,297
56519,3.033,0.4107,11.28,74.98,27.16,233.27,2456519.5,1.788,2457198.83,117
54789,3.82,0.2512,11.51,179.74,358.44,307.20,2454789.5,2.860,2455189.48,261
55708,4.002,0.3134,8.89,204.49,333.74,53.10,2455708.5,2.748,2455277.22,268
55923,3.728,0.5087,16.33,245.66,119.34,65.08,2455923.5,1.832,2455448.22,844
56568,3.513,0.4396,14.93,248.88,21.37,195.71,2456568.5,1.969,2457666.11,530
54616,3.162,0.2532,1.27,51.63,325.62,181.84,2454616.5,2.361,2455632.85,214
57665,4.47,0.6314,11.31,255.94,220.38,273.66,2457665.5,1.648,2458493.47,365
56728,3.868,0.4498,23.52,74.95,352.15,162.48,2456728.5,2.128,2455474.26,2615
57007,4.954,0.6100,20.87,305.81,110.52,144.16,2457007.5,1.932,2455394.95,864
55415,5.655,0.3142,32.25,181.10,250.27,315.18,2455415.5,3.878,2456027.06,582
55533,3.836,0.3597,7.63,87.73,283.95,348.13,2455533.5,2.456,2455624.01,742
55798,4.902,0.2007,2.26,354.19,92.46,346.60,2455798.5,3.918,2455946.10,1477
55048,4.008,0.4661,21.09,318.53,316.40,337.45,2455048.5,2.139,2455232.04,103
56020,4.027,0.2850,15.97,78.78,176.24,323.30,2456020.5,2.879,2456321.44,4362
55813,3.965,0.6256,13.68,54.12,47.34,30.94,2455813.5,1.484,2455565.66,1346
55427,5.982,0.6412,6.37,207.79,209.91,348.30,2455427.5,2.147,2455601.21,160
56856,2.77,0.8186,8.40,239.88,64.78,253.81,2456856.5,0.502,2457353.30,882
56434,3.733,0.4074,13.30,73.74,44.92,125.58,2456434.5,2.213,2455515.36,470
53813,3.491,0.5098,23.51,219.55,30.88,96.42,2453813.5,1.712,2453175.32,402
57552,3.047,0.6731,10.42,190.95,343.31,16.63,2457552.5,0.996,2457462.76,122
55819,3.472,0.4126,4.94,146.94,231.01,349.31,2455819.5,2.039,2455889.64,362
58935,4.619,0.3208,32.57,129.17,219.44,341.49,2458935.5,3.137,2459121.90,755
54456,3.025,0.6720,18.33,279.78,179.59,82.56,2454456.5,0.992,2454015.88,503
55542,4.622,0.4180,27.64,81.45,124.18,277.98,2455542.5,2.690,2456369.40,176
57009,3.753,0.4324,20.24,207.85,117.88,76.11,2457009.5,2.131,2456447.92,2110
57540,4.405,0.2104,6.75,126.29,26.01,202.41,2457540.5,3.478,2459018.56,80
55618,2.727,0.3415,15.90,51.97,256.59,207.00,2455618.5,1.796,2456317.75,68
56923,3.676,0.5942,15.77,351.86,15.58,103.54,2456923.5,1.492,2456183.00,6637
56698,3.592,0.3919,6.34,298.43,58.97,72.10,2456698.5,2.184,2456200.60,1017
55919,6.935,0.8154,29.08,218.01,171.17,341.30,2455919.5,1.280,2456265.96,1339
54299,3.03,0.5870,14.47,113.35,26.33,37.60,2454299.5,1.251,2454098.28,155
53699,3.893,0.3737,25.15,220.97,346.62,79.77,2453699.5,2.438,2453077.76,112
52926,4.253,0.6460,14.69,344.71,32.72,4.29,2452926.5,1.505,2452888.31,539
57931,3.532,0.3396,3.43,5.00,98.01,207.38,2457931.5,2.332,2458959.34,520
54368,3.29,0.5934,5.37,245.25,96.86,63.94,2454368.5,1.338,2453981.43,197
54236,4.521,0.4802,15.66,129.22,358.20,65.61,2454236.5,2.350,2453596.53,74
55129,7.212,0.4347,6.61,248.99,223.92,265.45,2455129.5,4.077,2456987.56,900
54667,6.752,0.4676,2.86,225.68,211.48,257.50,2454667.5,3.595,2456492.02,381
56196,6.974,0.3907,6.86,9.59,35.09,344.88,2456196.5,4.250,2456479.04,96
55231,4.447,0.4558,18.21,111.64,26.10,241.97,2455231.5,2.420,2456354.44,186
56369,32.83,0.9753,136.40,320.43,20.19,0.46,2456369.5,0.810,2456281.17,1140
57039,4.363,0.4399,15.84,81.37,38.54,74.90,2457039.5,2.444,2456347.05,818
53091,5.765,0.7139,21.57,349.27,173.14,132.59,2453091.5,1.649,2451229.48,155
56652,5.418,0.2764,14.37,213.79,205.86,27.08,2456652.5,3.920,2456305.97,192
57647,3.858,0.5038,16.75,276.35,152.18,155.99,2457647.5,1.914,2456448.33,828
57181,3.7,0.4334,6.68,15.49,237.92,93.43,2457181.5,2.096,2456506.94,519
55670,3.573,0.3986,5.05,346.26,5.97,81.07,2455670.5,2.149,2455114.94,219
54768,4.512,0.4181,11.78,131.50,104.83,167.85,2454768.5,2.625,2453136.47,171
55655,4.858,0.1735,4.72,87.17,26.33,322.84,2455655.5,4.015,2456059.26,98
55985,4.135,0.4857,14.46,161.25,21.98,312.64,2455985.5,2.127,2456389.48,110
56561,3.674,0.3770,11.86,144.30,202.87,312.21,2456561.5,2.289,2456903.01,2551
53845,4.511,0.6209,24.50,186.44,177.29,89.22,2453845.5,1.710,2452978.14,153
54477,4.118,0.4253,17.05,284.06,24.79,102.62,2454477.5,2.367,2453607.49,148
57800,4.176,0.2691,16.30,139.05,188.90,90.26,2457800.5,3.052,2457019.09,222
58699,3.045,0.6851,5.90,68.92,9.85,334.22,2458699.5,0.959,2458838.49,335
55287,6.103,0.6470,19.07,303.49,180.92,265.62,2455287.5,2.154,2456731.45,3749
54672,4.559,0.4286,5.95,241.01,175.96,160.25,2454672.5,2.605,2453089.78,668
54941,6.135,0.5868,24.32,91.86,318.85,246.27,2454941.5,2.535,2456694.94,494
56638,3.639,0.4198,9.07,78.44,41.15,355.84,2456638.5,2.112,2456667.79,459
55453,3.194,0.5986,18.54,314.34,234.17,141.45,2455453.5,1.282,2454634.11,233
54367,5.345,0.6148,21.10,7.70,73.37,166.08,2454367.5,2.059,2452285.15,78
56859,3.503,0.4773,25.20,263.68,350.03,21.31,2456859.5,1.831,2456717.78,333
54890,3.484,0.3086,10.26,98.29,131.82,52.13,2454890.5,2.409,2454546.53,569
54341,3.49,0.4125,8.02,57.12,95.62,26.71,2454341.5,2.051,2454164.79,145
56893,4.373,0.2820,10.48,271.68,323.50,340.25,2456893.5,3.140,2457076.76,298
54244,2.693,0.6938,5.70,95.86,222.67,148.23,2454244.5,0.825,2453579.66,741
52675,5.687,0.5874,10.62,355.78,189.40,53.44,2452675.5,2.346,2451940.19,126
57381,4.279,0.2284,6.03,121.78,208.30,345.79,2457381.5,3.302,2457509.17,143
54880,5.075,0.5104,7.07,348.22,356.55,182.70,2454880.5,2.485,2456937.15,246
55755,3.244,0.5742,2.76,60.68,329.66,168.06,2455755.5,1.381,2454759.19,1489
